[2025-07-19T21:51:19.406+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3247, completion-tokens, 154, total-tokens, 3401, cost-ms, 5314, requestId, 720ded31-5f5e-9cbe-9e3a-4c5b95b28a35
[2025-07-19T21:51:23.477+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 2637, completion-tokens, 96, total-tokens, 2733, cost-ms, 3579, requestId, 30783e4b-2544-9acb-9707-2c79bf2b0948
[2025-07-19T21:51:29.970+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3630, completion-tokens, 155, total-tokens, 3785, cost-ms, 4568, requestId, 891c2c76-ce0b-9d1f-bebf-72f4a9c4481a
[2025-07-19T21:51:34.662+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3019, completion-tokens, 118, total-tokens, 3137, cost-ms, 4259, requestId, bd22a1dd-5ac3-990b-b9f1-96d06b8ad1ad
[2025-07-19T21:51:39.893+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3743, completion-tokens, 156, total-tokens, 3899, cost-ms, 3171, requestId, 1b594902-7c20-993b-bb30-8eb7eef7608d
[2025-07-19T21:51:44.133+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3133, completion-tokens, 97, total-tokens, 3230, cost-ms, 3807, requestId, 7ced3876-42fa-9a0f-b676-e99f8388ae84
[2025-07-19T21:51:54.434+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3865, completion-tokens, 199, total-tokens, 4064, cost-ms, 8410, requestId, 29ed4def-6d19-9fd2-9bcf-3c4f1f5a208e
[2025-07-19T21:51:59.026+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3255, completion-tokens, 123, total-tokens, 3378, cost-ms, 4142, requestId, 9a272c9d-78a2-91b9-8e3e-cfba330a429c
[2025-07-19T21:52:02.869+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3309, completion-tokens, 87, total-tokens, 3396, cost-ms, 2961, requestId, 277e5d78-3db7-92ec-9652-801132840440
[2025-07-19T21:52:04.472+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 2268, completion-tokens, 14, total-tokens, 2282, cost-ms, 976, requestId, eb04a7f8-6622-969c-bfa4-5464b1c3707c
[2025-07-19T21:52:05.764+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 137, completion-tokens, 35, total-tokens, 172, cost-ms, 874, requestId, 13ea1d85-053c-9d32-8547-d7b71665e239
[2025-07-19T21:57:16.720+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 2250, completion-tokens, 165, total-tokens, 2415, cost-ms, 4001, requestId, d9ca5909-0e07-9374-adc2-cde26679eb3e
[2025-07-19T21:57:21.485+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 2644, completion-tokens, 111, total-tokens, 2755, cost-ms, 4317, requestId, 38199179-0744-9715-8975-7393a76f2ac3
[2025-07-19T21:57:29.576+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3630, completion-tokens, 153, total-tokens, 3783, cost-ms, 6138, requestId, 3123182d-6b33-94a4-bf48-1129446e8e99
[2025-07-19T21:57:33.175+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3019, completion-tokens, 101, total-tokens, 3120, cost-ms, 3152, requestId, a7cf9e4f-5115-9f67-b0d6-4bea0bcdd7b1
[2025-07-19T21:57:42.091+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3743, completion-tokens, 166, total-tokens, 3909, cost-ms, 6825, requestId, 7fe485f1-4ce3-9880-9431-ecace7be73fd
[2025-07-19T21:57:49.222+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3140, completion-tokens, 94, total-tokens, 3234, cost-ms, 6688, requestId, 4dd6db27-7843-95c5-b8e7-0ce9a7e04f65
[2025-07-19T21:57:55.958+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3865, completion-tokens, 176, total-tokens, 4041, cost-ms, 4819, requestId, 55a0efb1-c078-9f76-984f-5436a3daa46f
[2025-07-19T21:58:00.635+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3255, completion-tokens, 98, total-tokens, 3353, cost-ms, 4221, requestId, 070092a7-1549-957a-82fe-530c8527e580
[2025-07-19T21:58:04.600+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3309, completion-tokens, 87, total-tokens, 3396, cost-ms, 3121, requestId, b7d18647-a969-912a-ad7b-ee155cde261c
[2025-07-19T21:58:06.213+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 2268, completion-tokens, 14, total-tokens, 2282, cost-ms, 971, requestId, 053d9dd6-378f-93ec-8aaf-f23590be6f28
[2025-07-19T21:58:07.966+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 137, completion-tokens, 35, total-tokens, 172, cost-ms, 1331, requestId, 0d07ad97-bc25-9cf2-ab6f-54d3e13144e9
[2025-07-23T12:55:29.288+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3247, completion-tokens, 156, total-tokens, 3403, cost-ms, 5227, requestId, e83c5a65-b825-9f7d-b08d-3e45d59f4b66
[2025-07-23T12:55:32.635+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 2637, completion-tokens, 109, total-tokens, 2746, cost-ms, 2934, requestId, c35294e4-265b-9c9d-9984-cfdb81ef4d68
[2025-07-23T12:55:38.679+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3630, completion-tokens, 153, total-tokens, 3783, cost-ms, 4084, requestId, 3011ac9a-4958-9014-9d03-9ca72c6e1fa9
[2025-07-23T12:55:44.650+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3019, completion-tokens, 102, total-tokens, 3121, cost-ms, 5555, requestId, f661e42b-fd97-979b-a867-fd614419b02a
[2025-07-23T12:55:50.661+08:00] model, qwen-plus, mode, default, ui-tars-version, false, prompt-tokens, 3743, completion-tokens, 228, total-tokens, 3971, cost-ms, 3977, requestId, 1183bdb4-7e60-94b7-bc53-2f6aaca48959
